opentime,initial_value,value,leverage,SL,TP,close_time,close_cause
1502981099999.0,500.0,400.0,5,0.8,1.2,1503017999999.0,SL
1503041399999.0,470.23650009000005,376.18920007200006,5,0.8,1.2,1503066599999.0,SL
1503027899999.0,494.991,395.9928,5,0.8,1.2,1503078299999.0,SL
1503123299999.0,461.05043014538444,553.2605161744613,5,0.8,1.2,1503150299999.0,TP
1503107999999.0,485.3213509040984,582.3856210849181,5,0.8,1.2,1503159299999.0,TP
1503209699999.0,494.76424853541016,593.7170982424922,5,0.8,1.2,1503217799999.0,TP
1503269999999.0,499.7010062072965,599.6412074487557,5,0.8,1.2,1503294299999.0,TP
1503327599999.0,504.68702284723287,605.6244274166794,5,0.8,1.2,1503336599999.0,TP
1503332999999.0,479.44762483464274,383.5580998677142,5,0.8,1.2,1503341999999.0,SL
1503521999999.0,504.91968365560916,605.903620386731,5,0.8,1.2,1503577799999.0,TP
1503547199999.0,479.66865027599215,575.6023803311906,5,0.8,1.2,1503584099999.0,TP
1503916199999.0,514.7439060515787,411.79512484126303,5,0.8,1.2,1503974699999.0,SL
1504190699999.0,484.10274564870036,387.2821965189603,5,0.8,1.2,1504223099999.0,SL
1504142999999.0,509.58720160075404,407.66976128060327,5,0.8,1.2,1504244699999.0,SL
1504578599999.0,499.632415709209,599.5588988510508,5,0.8,1.2,1504579499999.0,TP
1504664099999.0,504.6177479531555,403.69419836252445,5,0.8,1.2,1504673999999.0,SL
1504669499999.0,479.38181437801825,383.50545150241464,5,0.8,1.2,1504749599999.0,SL
1504754999999.0,494.7600403377219,395.80803227017753,5,0.8,1.2,1504852199999.0,SL
1504814399999.0,470.0170907204324,376.0136725763459,5,0.8,1.2,1504877399999.0,SL
1504837799999.0,446.51153601350364,357.2092288108029,5,0.8,1.2,1504878299999.0,SL
1504867499999.0,443.96793763065443,355.17435010452357,5,0.8,1.2,1504879199999.0,SL
1505022299999.0,476.17407967181407,380.93926373745126,5,0.8,1.2,1505025899999.0,SL
1505024099999.0,452.36061394742666,361.88849115794136,5,0.8,1.2,1505028599999.0,SL
1505034899999.0,466.8720191111365,560.2464229333638,5,0.8,1.2,1505043899999.0,TP
1505218499999.0,471.5304681178275,377.22437449426207,5,0.8,1.2,1505240099999.0,SL
1505238299999.0,447.94922940725496,358.359383525804,5,0.8,1.2,1505269799999.0,SL
1505320199999.0,462.3191205080211,554.7829446096254,5,0.8,1.2,1505322899999.0,TP
1505465999999.0,466.93214069245016,373.54571255396013,5,0.8,1.2,1505469599999.0,SL
1505481299999.0,462.2544145069932,369.80353160559457,5,0.8,1.2,1505483099999.0,SL
1505537099999.0,457.62354978246213,549.1482597389545,5,0.8,1.2,1505539799999.0,TP
1505630699999.0,462.18971756219156,554.6276610746298,5,0.8,1.2,1505654999999.0,TP
1505697299999.0,466.8014465640271,560.1617358768325,5,0.8,1.2,1505700899999.0,TP
1505700899999.0,443.45670622136015,532.1480474656322,5,0.8,1.2,1505712599999.0,TP
1505848499999.0,475.88400241251975,380.7072019300158,5,0.8,1.2,1505872799999.0,SL
1505951099999.0,471.11659647635116,376.893277181081,5,0.8,1.2,1505973599999.0,SL
1506012299999.0,466.39695041285114,559.6763404954213,5,0.8,1.2,1506052799999.0,TP
1506065399999.0,471.0506591840706,376.8405273472565,5,0.8,1.2,1506080699999.0,SL
1506089699999.0,466.3316736803646,559.5980084164374,5,0.8,1.2,1506220199999.0,TP
1506195899999.0,443.01042667960957,354.40834134368765,5,0.8,1.2,1506235499999.0,SL
1506344399999.0,443.21465456605074,531.8575854792608,5,0.8,1.2,1506356099999.0,TP
1506347999999.0,399.9928047117455,479.9913656540946,5,0.8,1.2,1506356099999.0,TP
1506309299999.0,466.5466526658709,373.23732213269676,5,0.8,1.2,1506476699999.0,SL
1506408299999.0,430.57149361526757,344.4571948922141,5,0.8,1.2,1506476699999.0,SL
1506547799999.0,444.9161621256433,355.9329297005147,5,0.8,1.2,1506626999999.0,SL
1506345299999.0,421.04948969120255,336.83959175296206,5,0.8,1.2,1506629699999.0,SL
1507001399999.0,457.2976032051992,365.8380825641594,5,0.8,1.2,1507023899999.0,SL
1507013999999.0,434.42815006890714,347.54252005512575,5,0.8,1.2,1507056299999.0,SL
1507216499999.0,448.36429460889923,358.6914356871194,5,0.8,1.2,1507381199999.0,SL
1507644899999.0,443.8725811055072,532.6470973266087,5,0.8,1.2,1507774499999.0,TP
1507694399999.0,421.6745133244208,506.0094159893049,5,0.8,1.2,1507775399999.0,TP
1508015699999.0,452.509010013729,362.0072080109832,5,0.8,1.2,1508057099999.0,SL
