opentime,initial_value,value,leverage,SL,TP,close_time,close_cause
1503388799999.0,500.0,400.0,1,0.8,1.1,1503817199999.0,SL
1503885599999.0,470.23650009000005,376.18920007200006,1,0.8,1.1,1504330199999.0,SL
1503875699999.0,494.991,395.9928,1,0.8,1.1,1504331099999.0,SL
1505116799999.0,485.3213509040984,388.2570807232787,1,0.8,1.1,1505387699999.0,SL
1506080699999.0,480.45940161074117,384.36752128859297,1,0.8,1.1,1507122899999.0,SL
1506692699999.0,456.43162693618797,365.1453015489504,1,0.8,1.1,1507519799999.0,SL
1507298399999.0,430.1744847790731,344.1395878232585,1,0.8,1.1,1508336099999.0,SL
1507135499999.0,452.820013662326,362.25601092986085,1,0.8,1.1,1508748299999.0,SL
1509837299999.0,418.8294685705233,460.7124154275757,1,0.8,1.1,1510241399999.0,TP
1508167799999.0,426.9150724197037,469.60657966167406,1,0.8,1.1,1510648199999.0,TP
1509290099999.0,440.87776562966275,484.9655421926291,1,0.8,1.1,1511072999999.0,TP
1511424899999.0,468.63388086603254,515.4972689526359,1,0.8,1.1,1511451899999.0,TP
1512062099999.0,470.9672089588646,518.0639298547511,1,0.8,1.1,1512131399999.0,TP
1513157399999.0,473.3121546922707,520.6433701614978,1,0.8,1.1,1513176299999.0,TP
1513265399999.0,475.66877591048365,523.235653501532,1,0.8,1.1,1513388699999.0,TP
1513575899999.0,478.03713074574193,525.8408438203162,1,0.8,1.1,1513628099999.0,TP
1513655999999.0,480.417277619725,384.33382209578,1,0.8,1.1,1513913399999.0,SL
1515154499999.0,475.60445733253056,523.1649030657836,1,0.8,1.1,1515341699999.0,TP
1516315499999.0,477.9724919255892,525.7697411181482,1,0.8,1.1,1516364099999.0,TP
1518035399999.0,480.3523169628867,528.3875486591754,1,0.8,1.1,1518234299999.0,TP
1519181999999.0,482.7439911490449,386.195192919236,1,0.8,1.1,1520441099999.0,SL
1520504999999.0,477.9078618457138,382.32628947657105,1,0.8,1.1,1521051299999.0,SL
1521998099999.0,473.1201808857434,378.4961447085948,1,0.8,1.1,1522303199999.0,SL
1523178899999.0,468.38046291363,515.2185092049931,1,0.8,1.1,1523501999999.0,TP
1524266099999.0,470.7125292384769,517.7837821623247,1,0.8,1.1,1524533399999.0,TP
1524504599999.0,447.1721956512606,491.8894152163867,1,0.8,1.1,1524577499999.0,TP
1526795099999.0,451.51379059274495,361.211032474196,1,0.8,1.1,1527098399999.0,SL
1526564699999.0,475.2826772837029,380.22614182696236,1,0.8,1.1,1527483599999.0,SL
1527546599999.0,465.9980302685168,512.5978332953686,1,0.8,1.1,1527600599999.0,TP
1528733699999.0,468.3182344612238,374.6545875689791,1,0.8,1.1,1529822699999.0,SL
1529233199999.0,444.89763955581805,355.91811164465446,1,0.8,1.1,1530249299999.0,SL
1531594799999.0,436.20656424717674,479.82722067189445,1,0.8,1.1,1531763099999.0,TP
1531124099999.0,459.1696378353211,367.3357102682569,1,0.8,1.1,1533257099999.0,SL
1535925599999.0,456.74154888687355,365.39323910949884,1,0.8,1.1,1536185699999.0,SL
1536952499999.0,452.16591205012486,497.3825032551374,1,0.8,1.1,1537556399999.0,TP
1537290899999.0,429.5530947884981,472.50840426734794,1,0.8,1.1,1537557299999.0,TP
1539274499999.0,433.72362587600577,477.0959884636064,1,0.8,1.1,1539583199999.0,TP
1538383499999.0,456.55599098517433,365.2447927881395,1,0.8,1.1,1542212999999.0,SL
1540505699999.0,435.88313580924245,348.706508647394,1,0.8,1.1,1542615299999.0,SL
1542698999999.0,449.77504574618456,359.82003659694766,1,0.8,1.1,1543112099999.0,SL
1544470199999.0,445.26919933789924,489.7961192716892,1,0.8,1.1,1545174899999.0,TP
1545812999999.0,447.4861946814027,492.234814149543,1,0.8,1.1,1546119899999.0,TP
1546237799999.0,449.71422844472136,494.6856512891935,1,0.8,1.1,1546416899999.0,TP
1546732799999.0,429.35116827518436,343.48093462014754,1,0.8,1.1,1547136899999.0,SL
1546607699999.0,451.9533555881476,361.5626844705181,1,0.8,1.1,1547204399999.0,SL
1547423999999.0,443.1244468680847,487.43689155489324,1,0.8,1.1,1547481599999.0,TP
1549268099999.0,423.059772006954,465.36574920764946,1,0.8,1.1,1549645199999.0,TP
1548320399999.0,445.3307634890409,489.863839837945,1,0.8,1.1,1550399399999.0,TP
1552068899999.0,449.6544799652754,494.619927961803,1,0.8,1.1,1554192899999.0,TP
1556459099999.0,451.8933096210225,497.0826405831248,1,0.8,1.1,1557159299999.0,TP
1557012599999.0,429.2941252068752,472.22353772756276,1,0.8,1.1,1557563399999.0,TP
1557632699999.0,456.2807418590306,501.90881604493376,1,0.8,1.1,1557820799999.0,TP
1560193199999.0,458.5525636727468,504.40782004002153,1,0.8,1.1,1560617099999.0,TP
1560401099999.0,435.6203499634728,479.1823849598201,1,0.8,1.1,1561097699999.0,TP
1560588299999.0,413.8349762617995,455.2184738879795,1,0.8,1.1,1561110299999.0,TP
1561194899999.0,465.0651349565491,511.57164845220404,1,0.8,1.1,1561551299999.0,TP
1563108299999.0,467.3806942634978,373.90455541079825,1,0.8,1.1,1565802899999.0,SL
1565209799999.0,444.00698574338026,355.20558859470424,1,0.8,1.1,1567016999999.0,SL
1568208599999.0,395.41307440519995,434.95438184572,1,0.8,1.1,1568667599999.0,TP
1566025199999.0,440.49368511133963,484.5430536224736,1,0.8,1.1,1568726099999.0,TP
1566450899999.0,418.46459591892153,460.31105551081373,1,0.8,1.1,1568736899999.0,TP
1566677699999.0,397.53718147701625,437.2908996247179,1,0.8,1.1,1568753999999.0,TP
1568547899999.0,375.6384665541959,413.2023132096155,1,0.8,1.1,1568754899999.0,TP
1568724299999.0,378.59615639028806,416.4557720293169,1,0.8,1.1,1568910599999.0,TP
1571938199999.0,470.23059927811664,517.2536592059283,1,0.8,1.1,1572019199999.0,TP
1573999199999.0,472.5718774319225,378.057501945538,1,0.8,1.1,1574419499999.0,SL
1574409599999.0,448.93855784155204,359.15084627324165,1,0.8,1.1,1576624499999.0,SL
1578617999999.0,440.1685431949263,484.185397514419,1,0.8,1.1,1578994199999.0,TP
1578428099999.0,463.34018589135286,509.6742044804882,1,0.8,1.1,1579012199999.0,TP
1579882499999.0,467.8387558534735,514.6226314388209,1,0.8,1.1,1580401799999.0,TP
1581000299999.0,470.168125018868,517.1849375207548,1,0.8,1.1,1581441299999.0,TP
1581872399999.0,448.878912416749,493.76680365842395,1,0.8,1.1,1582039799999.0,TP
1581614999999.0,472.5090921133369,378.00727369066954,1,0.8,1.1,1582766099999.0,SL
1583387099999.0,405.8271528502841,446.40986813531254,1,0.8,1.1,1583598599999.0,TP
1582810199999.0,427.1909734315983,469.9100707747582,1,0.8,1.1,1583599499999.0,TP
1581980399999.0,426.4304780067873,341.1443824054299,1,0.8,1.1,1583684999999.0,SL
1582193699999.0,429.78809231655254,343.83047385324204,1,0.8,1.1,1583711999999.0,SL
1583460899999.0,385.5317369362414,308.4253895489931,1,0.8,1.1,1583951399999.0,SL
1585532699999.0,438.62767928372654,482.49044721209924,1,0.8,1.1,1585786499999.0,TP
1585510199999.0,461.71820680609954,507.8900274867095,1,0.8,1.1,1585844099999.0,TP
1585749599999.0,416.6919090427474,458.3610999470222,1,0.8,1.1,1585847699999.0,TP
1585774799999.0,395.8531466715196,435.4384613386716,1,0.8,1.1,1586149199999.0,TP
1586129399999.0,448.4791221230219,493.32703433532413,1,0.8,1.1,1586187899999.0,TP
1586809799999.0,426.40392362338866,469.04431598572756,1,0.8,1.1,1587025799999.0,TP
1586617199999.0,448.85096013998947,493.73605615398844,1,0.8,1.1,1587026699999.0,TP
1586339099999.0,472.4796683543927,519.727635189832,1,0.8,1.1,1587249899999.0,TP
1587398399999.0,479.1900386893871,527.1090425583259,1,0.8,1.1,1587830399999.0,TP
1587779999999.0,455.22574485453083,500.74831933998394,1,0.8,1.1,1588140899999.0,TP
1590973199999.0,483.8424948756522,532.2267443632174,1,0.8,1.1,1595456999999.0,TP
1594683899999.0,436.65865866625774,480.3245245328836,1,0.8,1.1,1595457899999.0,TP
1592081999999.0,459.6455317069209,505.610084877613,1,0.8,1.1,1595521799999.0,TP
1596847499999.0,490.7142452215062,539.7856697436569,1,0.8,1.1,1597353299999.0,TP
1598609699999.0,493.1575114484641,542.4732625933106,1,0.8,1.1,1598874299999.0,TP
1599651899999.0,495.612942697966,545.1742369677627,1,0.8,1.1,1599937199999.0,TP
1600718399999.0,498.08059953965926,547.8886594936253,1,0.8,1.1,1602299699999.0,TP
1601936099999.0,449.50827760295925,494.4591053632552,1,0.8,1.1,1602519299999.0,TP
1601265599999.0,473.1715887566809,520.488747632349,1,0.8,1.1,1603296899999.0,TP
